NAME,ALC_PERCENTAGE,PRICE,LINK
Midleton Very Rare Vintage ReleaseBot.2023,70cl / 40%,GBP 235,https://www.thewhiskyexchange.com//p/71101/midleton-very-rare-vintage-release-bot2023
Redbreast 12 Year Old,70cl / 40%,GBP 54.45,https://www.thewhiskyexchange.com//p/2906/redbreast-12-year-old
FreeGift,70cl / 40%,GBP 27.95,https://www.thewhiskyexchange.com//p/60633/proper-no-twelve-blended-irish-whiskey-bottle-hoodie-pack
Green Spot,70cl / 40%,GBP 45.95,https://www.thewhiskyexchange.com//p/15320/green-spot
Midleton Barry Crockett Legacy,70cl / 46%,GBP 207,https://www.thewhiskyexchange.com//p/15233/midleton-barry-crockett-legacy
Redbreast 15 Year Old,70cl / 46%,GBP 89.75,https://www.thewhiskyexchange.com//p/2908/redbreast-15-year-old
Jameson Crested,70cl / 40%,GBP 29.95,https://www.thewhiskyexchange.com//p/64661/jameson-crested
Redbreast Lustau Edition,70cl / 46%,GBP 56.95,https://www.thewhiskyexchange.com//p/34590/redbreast-lustau-edition
Connemara Peated Irish Whiskey,70cl / 40%,GBP 37.95,https://www.thewhiskyexchange.com//p/2849/connemara-peated-irish-whiskey
Offer,140cl / 57.5%,GBP 195,https://www.thewhiskyexchange.com//p/71117/method-and-madness-hickory-maple-wood-duo-2-bottles
Teeling Single Malt Whiskey,70cl / 46%,GBP 49.95,https://www.thewhiskyexchange.com//p/27168/teeling-single-malt-whiskey
Bushmills 10 Year Old,70cl / 40%,GBP 38.95,https://www.thewhiskyexchange.com//p/2834/bushmills-10-year-old
Green Spot Leoville Barton Bordeaux Finish,70cl / 46%,GBP 64.95,https://www.thewhiskyexchange.com//p/30079/green-spot-leoville-barton-bordeaux-finish
Yellow Spot 12 Year Old,70cl / 46%,GBP 78.95,https://www.thewhiskyexchange.com//p/18038/yellow-spot-12-year-old
Jameson,70cl / 40%,GBP 24.95,https://www.thewhiskyexchange.com//p/2863/jameson
Redbreast 27 Year OldBatch 4,70cl / 53.6%,GBP 479,https://www.thewhiskyexchange.com//p/70378/redbreast-27-year-old-batch-4
Powers Three Swallow,70cl / 40%,GBP 37.45,https://www.thewhiskyexchange.com//p/66019/powers-three-swallow
Knappogue Castle 12 Year Old (43%),70cl / 43%,GBP 46.95,https://www.thewhiskyexchange.com//p/53212/knappogue-castle-12-year-old-43
Redbreast 12 Year Old Cask StrengthBatch B1-22,70cl / 58.1%,GBP 83.95,https://www.thewhiskyexchange.com//p/68920/redbreast-12-year-old-cask-strength-batch-b1-22
Teeling Whiskey Ginger Beer Cask2022 Release,70cl / 46%,GBP 42.95,https://www.thewhiskyexchange.com//p/67376/teeling-whiskey-ginger-beer-cask-2022-release
Sexton Single Malt Irish Whiskey,70cl / 40%,GBP 31.95,https://www.thewhiskyexchange.com//p/48115/sexton-single-malt-irish-whiskey
Dunville's 10 Year OldPX Sherry Cask,70cl / 46%,GBP 69.95,https://www.thewhiskyexchange.com//p/69873/dunvilles-10-year-old-px-sherry-cask
Connacht Single Malt WhiskeyBatch 1,70cl / 47%,GBP 54.95,https://www.thewhiskyexchange.com//p/64676/connacht-single-malt-whiskey-batch-1
Roe & Co Blended Irish Whiskey,70cl / 45%,GBP 31.95,https://www.thewhiskyexchange.com//p/37873/roe-co-blended-irish-whiskey
Teeling Small Batch Whiskey,70cl / 46%,GBP 34.95,https://www.thewhiskyexchange.com//p/19406/teeling-small-batch-whiskey
Tyrconnell Single Malt,70cl / 43%,GBP 32.95,https://www.thewhiskyexchange.com//p/2913/tyrconnell-single-malt
Teeling Pot Still Virgin Portuguese OakWonders of Wood Second Ed,70cl / 50%,GBP 76.25,https://www.thewhiskyexchange.com//p/71686/teeling-pot-still-virgin-portuguese-oak-wonders-of-wood-second-ed
